id,page_views,downloads,columns,agency,d,r,g,b
32cj-z7va,438,412.0,43,Department for the Aging (DFTA),766.0,0.9882352941176471,0.803921568627451,0.8980392156862745
infj-99i7,438,181.0,0,Department of City Planning (DCP),0.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
by9k-vhck,437,186.0,0,Department of Information Technology & Telecommunications (DoITT),0.0,1.0,1.0,0.7019607843137254
ahjc-fdu3,437,1095.0,48,Department of Education (DOE),519.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
7299-2etw,436,1185.0,5,Department of Transportation (DOT),127.0,0.984313725490196,0.5019607843137255,0.4470588235294118
fuzb-9jre,435,271.0,7,Landmarks Preservation Commission (LPC),637.0,0.7,0.7,0.0
a5ru-ygsr,435,611.0,4,Department of Information Technology & Telecommunications (DoITT),61.0,1.0,1.0,0.7019607843137254
7f9e-jic4,434,512.0,0,Department of Transportation (DOT),0.0,0.984313725490196,0.5019607843137255,0.4470588235294118
i6as-kc83,434,1280.0,8,Department of Education (DOE),376.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
a2ju-qb9a,434,532.0,0,Administration for Children's Services (ACS),0.0,0.7,0.7,0.0
x56h-7iwp,434,1746.0,13,Department of Homeless Services (DHS),254.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
xqmg-7z3j,434,946.0,17,Department of Education (DOE),734.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
cpcm-i88g,433,272.0,18,Department of Parks and Recreation (DPR),735.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
q9mx-gjyn,432,1723.0,16,Department of Education (DOE),834.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
v9z6-t6nq,432,170.0,38,Department of Education (DOE),827.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
7hi3-kaps,431,891.0,5,Department of Correction (DOC),11.0,0.7,0.7,0.0
vy67-bzq3,430,972.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
5k4d-a692,430,0.0,0,Department of Information Technology & Telecommunications (DoITT),0.0,1.0,1.0,0.7019607843137254
2pmj-y4p4,430,688.0,40,Department of Education (DOE),586.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
8tt5-asjf,430,349.0,0,Department of Sanitation (DSNY),0.0,0.984313725490196,0.5019607843137255,0.4470588235294118
ex6k-ym48,429,388.0,10,Office of the Comptroller (COMPTROLLER),675.0,0.7,0.7,0.0
cwjy-rrh3,429,1109.0,40,NYC Independent Budget Office (IBO),8.0,0.7,0.7,0.0
4n2j-ut8i,429,1314.0,17,Department of Education (DOE),431.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
